Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
"Kimpton Hotel Monaco Chicago, an IHG Hotel",9.4 out of 10 Exceptional,"1,003 verified reviews",9.6/10,9.6/10,9.0/10,9.4/10,9.0/10
La Quinta Inn & Suites by Wyndham Rockford,7.8 out of 10 Good,"1,000 verified reviews",8.2/10,8.4/10,7.8/10,7.8/10,7.8/10
AC Hotels by Marriott Chicago Downtown,8.6 out of 10 Excellent,"1,002 verified reviews",9.0/10,8.8/10,8.4/10,8.8/10,8.8/10
Eastland Suites Hotel & Conference Center,8.8 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.2/10,8.6/10,8.6/10,8.2/10
Springhill Suites by Marriott Chicago Downtown/ River North,8.8 out of 10 Excellent,"1,052 verified reviews",8.8/10,9.0/10,8.4/10,8.8/10,8.6/10
Riverbank Lodge,9.0 out of 10 Wonderful,272 verified reviews,9.2/10,9.4/10,8.8/10,9.0/10,9.0/10
Super 8 by Wyndham Chicago O'Hare Airport,7.8 out of 10 Good,"1,002 verified reviews",8.0/10,8.2/10,7.2/10,7.4/10,7.4/10
"Holiday Inn Chicago - Elk Grove, an IHG Hotel",7.6 out of 10 Good,"1,000 verified reviews",8.2/10,8.0/10,7.4/10,7.8/10,7.4/10
"Red Roof Inn & Suites Danville, IL",7.8 out of 10 Good,"1,001 verified reviews",8.0/10,8.4/10,7.2/10,7.6/10,7.6/10
"Country Inn & Suites by Radisson, Effingham, IL",8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.6/10,8.6/10,8.4/10
Days Inn by Wyndham Oglesby/ Starved Rock,8.2 out of 10 Very good,905 verified reviews,8.4/10,8.6/10,7.6/10,8.0/10,8.0/10
La Quinta Inn & Suites by Wyndham Effingham,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.8/10,9.0/10,8.8/10
Red Roof Inn Bloomington - Normal/ University,6.8 out of 10 Good,553 verified reviews,7.0/10,7.6/10,6.4/10,6.6/10,6.0/10
Comfort Suites Chicago O'Hare Airport,8.4 out of 10 Very good,"1,812 verified reviews",8.4/10,8.6/10,8.0/10,8.0/10,8.0/10
AmericInn by Wyndham Princeton IL,9.2 out of 10 Wonderful,268 verified reviews,9.4/10,9.4/10,9.0/10,9.2/10,8.6/10
AmericInn by Wyndham Monmouth,8.8 out of 10 Excellent,325 verified reviews,9.0/10,9.2/10,8.6/10,9.0/10,8.4/10
The Chicago Hotel Collection - Magnificent Mile,8.2 out of 10 Very good,"1,004 verified reviews",8.6/10,8.2/10,7.2/10,8.2/10,8.0/10
Sonesta Select Chicago Elgin West Dundee,8.4 out of 10 Very good,812 verified reviews,8.4/10,8.8/10,7.8/10,8.2/10,8.2/10
Fairfield Inn & Suites Chicago Downtown / Magnificent Mile,8.6 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.2/10,8.6/10,8.6/10
Fairfield Inn & Suites by Marriott Rockford,9.0 out of 10 Wonderful,737 verified reviews,9.4/10,9.2/10,8.4/10,9.0/10,9.0/10
Courtyard by Marriott Chicago Arlington Heights / South,8.6 out of 10 Excellent,992 verified reviews,9.0/10,9.0/10,8.2/10,8.6/10,8.4/10
Stoney Creek Inn Quincy,8.6 out of 10 Excellent,"1,001 verified reviews",8.8/10,9.0/10,8.6/10,8.8/10,8.6/10
SureStay Plus Hotel by Best Western Chicago Lombard,8.6 out of 10 Excellent,"1,447 verified reviews",8.8/10,9.2/10,8.2/10,8.4/10,8.4/10
Ramada Limited Bloomington,6.8 out of 10 Good,"1,001 verified reviews",7.2/10,7.6/10,6.2/10,6.8/10,6.0/10
W Chicago - City Center,8.0 out of 10 Very good,"1,001 verified reviews",8.6/10,8.4/10,8.0/10,8.0/10,8.0/10
AmericInn by Wyndham Woodstock IL,8.0 out of 10 Very good,738 verified reviews,8.4/10,8.6/10,7.8/10,8.0/10,7.2/10
"Crowne Plaza Chicago Ohare Hotel & Conf Ctr, and IHG Hotel",8.4 out of 10 Very good,"1,521 verified reviews",8.6/10,8.8/10,8.2/10,8.4/10,8.4/10
Residence Inn Chicago Downtown/Loop,9.4 out of 10 Exceptional,"1,002 verified reviews",9.4/10,9.4/10,9.2/10,9.4/10,9.0/10
"Country Inn & Suites by Radisson, Bloomington-Normal West, IL",7.4 out of 10 Good,"1,001 verified reviews",7.6/10,8.0/10,6.8/10,7.0/10,7.0/10
Courtyard by Marriott Chicago Downtown River North,8.8 out of 10 Excellent,"1,001 verified reviews",9.0/10,9.2/10,8.0/10,8.8/10,8.4/10
Hyatt Place Bloomington/Normal,9.2 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.4/10,9.0/10,9.4/10,9.0/10
"The Gwen, a Luxury Collection Hotel, Michigan Avenue Chicago",9.4 out of 10 Exceptional,"1,001 verified reviews",9.6/10,9.2/10,9.0/10,9.4/10,9.4/10
Best Western Airport Inn,8.4 out of 10 Very good,894 verified reviews,8.8/10,8.8/10,8.0/10,8.4/10,8.0/10
Wingate by Wyndham Arlington Heights,8.0 out of 10 Very good,"1,002 verified reviews",8.2/10,8.2/10,8.0/10,8.0/10,8.0/10
Best Western Chester Hotel,8.6 out of 10 Excellent,243 verified reviews,9.2/10,9.0/10,7.8/10,8.8/10,8.6/10
Best Western Plus Parkway Hotel,8.4 out of 10 Very good,989 verified reviews,8.6/10,8.6/10,8.0/10,8.4/10,8.0/10
Wyndham Garden Galena Hotel & Day Spa,9.4 out of 10 Exceptional,187 verified reviews,9.8/10,9.6/10,9.4/10,9.4/10,9.4/10
Super 8 by Wyndham Rantoul,7.0 out of 10 Good,378 verified reviews,7.2/10,7.6/10,6.8/10,7.0/10,7.6/10
Super 8 by Wyndham Peoria,7.2 out of 10 Good,"1,002 verified reviews",7.4/10,7.8/10,6.6/10,7.0/10,6.8/10
Best Western Delta Inn,9.2 out of 10 Wonderful,996 verified reviews,9.4/10,9.4/10,9.0/10,9.2/10,8.8/10
Quality Inn Bolingbrook I-55,8.4 out of 10 Very good,743 verified reviews,8.6/10,8.6/10,8.0/10,8.2/10,8.2/10
Sheraton Grand Chicago Riverwalk,8.4 out of 10 Very good,"1,318 verified reviews",8.8/10,8.6/10,8.0/10,8.4/10,8.4/10
Best Western Morton Inn,9.0 out of 10 Wonderful,394 verified reviews,9.4/10,9.4/10,9.0/10,9.2/10,8.8/10
W Chicago - Lakeshore,8.2 out of 10 Very good,"1,001 verified reviews",8.6/10,8.6/10,7.6/10,8.2/10,8.2/10
"Country Inn & Suites by Radisson, Moline Airport, IL",8.4 out of 10 Very good,931 verified reviews,8.6/10,8.8/10,8.0/10,8.4/10,8.0/10
Comfort Inn & Suites North Aurora - Naperville,8.2 out of 10 Very good,464 verified reviews,8.4/10,8.6/10,8.0/10,8.2/10,8.0/10
Best Western O'Hare/Elk Grove Hotel,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,7.6/10,8.0/10,7.6/10
La Quinta Inn & Suites by Wyndham Chicago Gurnee,7.2 out of 10 Good,"1,004 verified reviews",7.4/10,7.8/10,7.2/10,7.0/10,7.4/10
Stone Creek Inn,6.0 out of 10 Good,4 verified reviews,7.6/10,8.0/10,10.0/10,6.0/10,6.0/10
The Chicago Hotel Collection River North,7.0 out of 10 Good,277 verified reviews,8.2/10,7.2/10,7.0/10,7.8/10,7.6/10
Best Western Naperville Inn,8.2 out of 10 Very good,"1,001 verified reviews",8.4/10,8.6/10,8.0/10,8.2/10,8.0/10
Radisson Hotel Schaumburg,7.2 out of 10 Good,391 verified reviews,7.6/10,7.6/10,6.8/10,7.2/10,7.4/10
Best Western Plus Champaign/Urbana Inn,8.8 out of 10 Excellent,797 verified reviews,9.2/10,9.0/10,8.8/10,8.8/10,8.8/10
"Drury Inn & Suites St. Louis O'Fallon, IL",9.6 out of 10 Exceptional,"1,003 verified reviews",9.6/10,9.6/10,9.4/10,9.6/10,9.4/10
"Holiday Inn Express Troy, an IHG Hotel",9.4 out of 10 Exceptional,502 verified reviews,9.4/10,9.4/10,9.2/10,9.4/10,9.2/10
Hampton Inn by Hilton Huntley Chicago,9.4 out of 10 Exceptional,108 verified reviews,9.8/10,9.4/10,9.2/10,9.8/10,9.2/10
Lefevre Inn and Resort,9.6 out of 10 Exceptional,511 verified reviews,9.6/10,9.8/10,9.2/10,9.6/10,9.4/10
JW Marriott Chicago,9.2 out of 10 Wonderful,"1,000 verified reviews",9.4/10,9.2/10,9.0/10,9.4/10,9.2/10
Hyatt Place Chicago/O'Hare Airport,8.4 out of 10 Very good,"2,208 verified reviews",8.8/10,8.6/10,8.2/10,8.6/10,8.4/10
Renaissance Chicago Downtown Hotel,9.2 out of 10 Wonderful,"1,004 verified reviews",9.4/10,9.4/10,8.8/10,9.2/10,9.0/10
Inn at 835 Boutique Hotel,9.4 out of 10 Exceptional,397 verified reviews,9.6/10,9.6/10,9.2/10,9.2/10,9.0/10
Best Western Legacy Inn & Suites Beloit/South Beloit,8.8 out of 10 Excellent,619 verified reviews,9.2/10,9.2/10,9.0/10,9.0/10,9.0/10
