Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Hotel AKA NoMad,8.6 out of 10 Excellent,"1,000 verified reviews",9.0/10,9.0/10,8.2/10,8.6/10,9.2/10
The Manhattan at Times Square Hotel,5.6 out of 10,"4,099 verified reviews",5.6/10,6.6/10,5.2/10,4.8/10,5.6/10
Mint House at 70 Pine,9.6 out of 10 Exceptional,"1,000 verified reviews",9.6/10,9.4/10,9.6/10,9.6/10,9.2/10
Hilton Garden Inn New York/Tribeca,8.4 out of 10 Very good,"1,002 verified reviews",8.6/10,8.6/10,7.8/10,8.2/10,7.8/10
1 Hotel Central Park,9.0 out of 10 Wonderful,"1,001 verified reviews",9.6/10,9.4/10,9.0/10,9.4/10,9.6/10
Romer Hell's Kitchen,9.4 out of 10 Exceptional,605 verified reviews,9.6/10,9.4/10,8.6/10,9.2/10,9.0/10
The Fifty Sonesta Select New York,8.4 out of 10 Very good,"1,115 verified reviews",8.6/10,8.8/10,7.8/10,8.2/10,8.0/10
Madison LES Hotel,8.0 out of 10 Very good,633 verified reviews,8.6/10,8.6/10,8.0/10,8.2/10,7.8/10
Hotel Hendricks,8.2 out of 10 Very good,"1,006 verified reviews",8.6/10,8.4/10,7.8/10,8.4/10,8.0/10
The Gotham Hotel,8.6 out of 10 Excellent,"1,003 verified reviews",8.8/10,9.0/10,7.8/10,8.6/10,8.8/10
Hilton Club The Central at 5th New York,9.4 out of 10 Exceptional,381 verified reviews,9.6/10,9.6/10,8.6/10,9.6/10,9.4/10
Hampton Inn Manhattan/Downtown-Financial District,8.2 out of 10 Very good,"1,000 verified reviews",8.8/10,8.8/10,8.0/10,8.4/10,7.6/10
The Westin New York Grand Central,8.8 out of 10 Excellent,"2,252 verified reviews",9.0/10,8.8/10,8.4/10,9.0/10,8.6/10
Hilton Garden Inn New York/Manhattan-Midtown East,8.0 out of 10 Very good,"1,167 verified reviews",8.4/10,8.2/10,7.4/10,7.8/10,7.8/10
"Holiday Inn Express Manhattan Times Square South, an IHG Hotel",8.2 out of 10 Very good,"1,008 verified reviews",8.2/10,8.6/10,7.8/10,7.8/10,8.0/10
Loews Regency New York Hotel,9.0 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.2/10,8.6/10,8.8/10,8.8/10
The Wall Street Hotel,9.6 out of 10 Exceptional,207 verified reviews,10.0/10,9.8/10,9.8/10,9.8/10,9.8/10
Library Hotel by Library Hotel Collection,9.6 out of 10 Exceptional,"1,001 verified reviews",9.8/10,9.8/10,9.2/10,9.4/10,9.0/10
"EVEN Hotel New York - Midtown East, an IHG Hotel",8.8 out of 10 Excellent,"1,081 verified reviews",9.2/10,9.0/10,8.4/10,9.0/10,8.8/10
DoubleTree by Hilton New York Midtown Fifth Ave,7.6 out of 10 Good,409 verified reviews,8.2/10,8.0/10,7.0/10,7.2/10,7.6/10
