Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Best Western Plus College Park Hotel,8.8 out of 10 Excellent,"1,005 verified reviews",9.2/10,8.8/10,8.4/10,8.8/10,8.8/10
Hilton Garden Inn Falls Church,9.2 out of 10 Wonderful,767 verified reviews,9.4/10,9.2/10,8.6/10,9.2/10,8.8/10
Fairfield Inn & Suites by Marriott Alexandria West/Mark Center,8.2 out of 10 Very good,692 verified reviews,8.6/10,8.4/10,8.0/10,8.4/10,8.4/10
Super 8 by Wyndham Alexandria/Washington D.C. Area,6.4 out of 10 Good,890 verified reviews,6.8/10,7.0/10,6.0/10,6.2/10,6.2/10
"Candlewood Suites Alexandria West, an IHG Hotel",7.8 out of 10 Good,193 verified reviews,8.2/10,8.0/10,7.4/10,8.0/10,8.0/10
"Staybridge Suites Tysons - McLean, an IHG Hotel",9.2 out of 10 Wonderful,845 verified reviews,9.4/10,9.2/10,8.8/10,9.2/10,8.8/10
Home2 Suites by Hilton Silver Spring,9.2 out of 10 Wonderful,476 verified reviews,9.4/10,9.2/10,9.0/10,9.4/10,9.0/10
Quality Inn Near Joint Base Andrews - Washington Area,6.6 out of 10 Good,486 verified reviews,7.0/10,7.6/10,5.6/10,6.4/10,6.2/10
Rodeway Inn Joint Base Andrews Area,5.6 out of 10,198 verified reviews,5.6/10,6.6/10,5.2/10,5.0/10,5.0/10
Comfort Inn & Suites Alexandria West,8.0 out of 10 Very good,"1,003 verified reviews",8.2/10,8.6/10,7.6/10,7.8/10,8.0/10
La Quinta Inn & Suites by Wyndham DC Metro Capital Beltway,6.8 out of 10 Good,"1,141 verified reviews",6.6/10,7.6/10,6.4/10,6.4/10,6.8/10
"Motel 6 Capitol Heights, MD - Washington",4.8 out of 10,714 verified reviews,5.0/10,5.4/10,4.8/10,4.6/10,5.4/10
Metro Points Hotel,6.8 out of 10 Good,604 verified reviews,6.8/10,7.0/10,6.0/10,6.6/10,6.8/10
Hampton Inn College Park,8.0 out of 10 Very good,"1,002 verified reviews",8.6/10,8.4/10,7.4/10,8.0/10,7.6/10
Hampton Inn & Suites Glenarden/Washington DC,9.0 out of 10 Wonderful,885 verified reviews,9.4/10,9.4/10,9.0/10,9.4/10,9.0/10
