Hotel,Overall Rating,Total Reviews,Cleanliness,Staff and Service,Amenities,Property Conditions and Facilities,Eco-Friendliness
Comfort Suites near Birkdale Village- Huntersville,8.8 out of 10 Excellent,609 verified reviews,9.0/10,9.0/10,8.6/10,8.8/10,9.0/10
Embassy Suites By Hilton Asheville Downtown,9.4 out of 10 Exceptional,6 verified reviews,10.0/10,9.8/10,9.6/10,10.0/10,9.4/10
Super 8 by Wyndham Smithfield/Selma,7.6 out of 10 Good,"1,005 verified reviews",7.6/10,8.4/10,7.2/10,7.4/10,7.2/10
Hyatt Place Raleigh/Cary,9.0 out of 10 Wonderful,"1,003 verified reviews",9.2/10,9.2/10,9.0/10,9.0/10,9.0/10
"Country Inn & Suites by Radisson, Lumberton, NC",7.2 out of 10 Good,"1,004 verified reviews",7.0/10,8.0/10,7.0/10,6.8/10,7.2/10
Quality Inn And Suites,7.2 out of 10 Good,510 verified reviews,7.2/10,8.0/10,7.0/10,6.8/10,6.8/10
"Holiday Inn Express & Suites Asheville Downtown, an IHG Hotel",9.4 out of 10 Exceptional,766 verified reviews,9.8/10,9.6/10,9.2/10,9.6/10,9.2/10
Bryson Inn,9.4 out of 10 Exceptional,"1,111 verified reviews",9.6/10,9.6/10,8.8/10,9.2/10,9.0/10
Hampton Inn & Suites Fayetteville,9.2 out of 10 Wonderful,"1,003 verified reviews",9.4/10,9.4/10,9.2/10,9.4/10,9.2/10
Best Western Smithfield Inn,9.0 out of 10 Wonderful,"1,002 verified reviews",9.4/10,9.2/10,8.6/10,9.2/10,8.8/10
"My Place Hotel - Huntersville, NC",9.0 out of 10 Wonderful,520 verified reviews,9.4/10,9.2/10,8.8/10,9.4/10,9.0/10
"Country Inn & Suites by Radisson, Goldsboro, NC",8.2 out of 10 Very good,787 verified reviews,8.4/10,8.6/10,7.4/10,8.0/10,8.0/10
Best Western Hendersonville Inn,7.8 out of 10 Good,"1,000 verified reviews",8.2/10,8.4/10,8.0/10,7.6/10,8.4/10
Extended Stay America Premier Suites Charlotte Pineville Mat,7.6 out of 10 Good,156 verified reviews,8.2/10,8.4/10,7.6/10,8.2/10,8.4/10
Days Inn by Wyndham Lexington,7.6 out of 10 Good,831 verified reviews,7.6/10,8.2/10,7.4/10,7.4/10,7.4/10
River Hotel of Southport,9.6 out of 10 Exceptional,579 verified reviews,9.8/10,9.8/10,9.4/10,9.6/10,9.4/10
Quality Inn Asheville Airport,7.6 out of 10 Good,232 verified reviews,7.6/10,8.2/10,6.8/10,7.6/10,7.8/10
Best Western Plus Burlington,8.6 out of 10 Excellent,816 verified reviews,8.8/10,9.0/10,8.6/10,8.6/10,8.4/10
Carolina Pine Inn,8.4 out of 10 Very good,244 verified reviews,8.8/10,9.2/10,8.0/10,8.0/10,8.8/10
Beaufort Hotel NC,9.2 out of 10 Wonderful,634 verified reviews,9.6/10,9.4/10,8.8/10,9.6/10,9.2/10
Best Western Statesville Inn,7.4 out of 10 Good,738 verified reviews,7.6/10,8.2/10,7.4/10,7.4/10,7.4/10
Scarborough Inn,7.8 out of 10 Good,246 verified reviews,8.6/10,7.8/10,7.2/10,8.0/10,7.6/10
Best Western Plus Westgate Inn & Suites,9.4 out of 10 Exceptional,"1,002 verified reviews",9.6/10,9.6/10,9.2/10,9.4/10,9.0/10
Comfort Inn & Suites Durham near Duke University,8.0 out of 10 Very good,"1,000 verified reviews",8.2/10,8.2/10,8.4/10,7.6/10,8.6/10
Tru by Hilton Charlotte Airport Lake Pointe,9.2 out of 10 Wonderful,"1,095 verified reviews",9.6/10,9.4/10,9.2/10,9.6/10,9.4/10
La Quinta Inn & Suites by Wyndham Raleigh Durham Intl AP,8.0 out of 10 Very good,"2,169 verified reviews",8.0/10,8.4/10,7.8/10,7.8/10,8.0/10
Hampton Inn & Suites Asheville Biltmore Village,9.6 out of 10 Exceptional,"1,001 verified reviews",9.8/10,9.8/10,9.4/10,9.8/10,9.6/10
Comfort Inn & Suites Lake Norman,8.8 out of 10 Excellent,827 verified reviews,8.8/10,9.0/10,8.2/10,8.6/10,8.2/10
Marriott Greensboro Airport,8.8 out of 10 Excellent,974 verified reviews,9.2/10,9.2/10,8.4/10,9.0/10,8.6/10
The Inn At Corolla Light,8.4 out of 10 Very good,525 verified reviews,8.4/10,8.8/10,8.0/10,7.8/10,8.2/10
Pony Island Inn,9.4 out of 10 Exceptional,265 verified reviews,9.8/10,9.6/10,9.2/10,9.4/10,9.2/10
Hampton Inn Raleigh/Cary,8.4 out of 10 Very good,769 verified reviews,8.8/10,9.0/10,7.6/10,8.2/10,8.0/10
Extended Stay America Suites Fayetteville Cross Creek Mall,7.6 out of 10 Good,435 verified reviews,7.6/10,8.2/10,7.0/10,7.6/10,7.2/10
The Islander Inn,8.4 out of 10 Very good,"1,001 verified reviews",8.6/10,8.8/10,8.0/10,8.0/10,8.2/10
Wingate By Wyndham Southport,8.0 out of 10 Very good,"1,000 verified reviews",8.0/10,8.4/10,7.4/10,7.8/10,7.6/10
Hampton Inn Fayetteville Fort Liberty,8.6 out of 10 Excellent,632 verified reviews,8.8/10,9.0/10,8.2/10,8.4/10,8.2/10
Baymont by Wyndham Henderson Oxford,7.8 out of 10 Good,539 verified reviews,8.0/10,8.4/10,7.6/10,7.8/10,7.8/10
Golden Sands Oceanfront Hotel,8.8 out of 10 Excellent,721 verified reviews,8.8/10,9.2/10,8.2/10,8.4/10,8.4/10
Comfort Inn Elizabeth City near University,8.0 out of 10 Very good,621 verified reviews,8.2/10,8.6/10,7.6/10,7.6/10,7.8/10
Lambuth Inn at Lake Junaluska,8.8 out of 10 Excellent,411 verified reviews,9.2/10,9.0/10,7.8/10,8.6/10,8.4/10
Comfort Inn Matthews - Charlotte,8.2 out of 10 Very good,"1,006 verified reviews",8.2/10,8.8/10,8.0/10,8.0/10,8.0/10
"Country Inn & Suites by Radisson, Concord (Kannapolis), NC",7.8 out of 10 Good,"1,003 verified reviews",8.2/10,8.2/10,7.8/10,7.8/10,7.6/10
The Beach House,8.6 out of 10 Excellent,118 verified reviews,8.6/10,8.8/10,8.0/10,8.4/10,8.0/10
Comfort Suites Lumberton,8.6 out of 10 Excellent,"1,268 verified reviews",8.4/10,9.0/10,8.4/10,8.2/10,8.4/10
"Homewood Suites By Hilton Greenville, NC",9.4 out of 10 Exceptional,73 verified reviews,9.8/10,9.4/10,9.6/10,9.8/10,9.4/10
Best Western Plus Raleigh Crabtree Valley Hotel,8.0 out of 10 Very good,941 verified reviews,8.2/10,8.4/10,8.4/10,7.6/10,8.6/10
Comfort Suites Southport - Oak Island,8.6 out of 10 Excellent,747 verified reviews,8.8/10,9.0/10,8.6/10,8.6/10,8.8/10
Blackbeard's Lodge,8.4 out of 10 Very good,193 verified reviews,8.6/10,9.0/10,7.6/10,7.6/10,8.4/10
"Rizzo Center, a Destination by Hyatt Hotel",9.6 out of 10 Exceptional,897 verified reviews,9.8/10,9.6/10,9.6/10,9.8/10,9.6/10
